Ticker                      Company   Market_Cap       EBIT           EV       EV_EBIT
  CAPR    CAPRICOR THERAPEUTICS INC    1655.7271   -108.141    1352.1201    -12.503307
  CAPS   CAPSTONE THERAPEUTICS CORP       0.3539     -0.638      16.9549    -26.575078
   CAR        AVIS BUDGET GROUP INC    4504.0320   1334.000   32562.0320     24.409319
  CARE        CARTER BANKSHARES INC     434.1518     71.951     518.4158      7.205123
  CARG                 CARGURUS INC    3638.8014    244.949    3639.1164     14.856629
  CARR          CARRIER GLOBAL CORP   44181.6904   2141.000   55017.6904     25.697193
  CARS                 CARS.COM INC     715.3592     84.360    1127.5962     13.366479
  CASH       PATHWARD FINANCIAL INC    1685.4297    525.487    1631.2737      3.104308
  CASS CASS INFORMATION SYSTEMS INC     536.3554     38.098     141.8414      3.723067
  CASY    CASEYS GENERAL STORES INC   17170.8782    822.605   19802.1152     24.072447
   CAT              CATERPILLAR INC  266548.9637  13296.000  299878.9637     22.554074
  CATO             CATO CORP  -CL A      67.2613    -27.881     132.6563     -4.757946
  CATX PERSPECTIVE THERAPEUTICS INC     204.4295   -103.564      62.9455     -0.607793
  CATY       CATHAY GENERAL BANCORP    3251.8080    514.345    2000.2190      3.888866
  CBAN          COLONY BANKCORP INC     378.7106     64.811     389.5016      6.009807
  CBAT   CBAK ENERGY TECHNOLOGY INC      74.0283    -18.863      36.0883     -1.913179
  CBFV    CB FINANCIAL SERVICES INC     175.5898     15.928     181.2618     11.380073
   CBL   CBL & ASSOCIATES PPTYS INC    1121.9140    203.100    3139.7470     15.459119
  CBNK          CAPITAL BANCORP INC     461.2274    143.995     262.2964      1.821566
  CBRE               CBRE GROUP INC   47550.5875   2050.000   55965.5875     27.300287
  CBRL CRACKER BARREL OLD CTRY STOR    1380.6160     73.812    2520.5820     34.148675
  CBSH      COMMERCE BANCSHARES INC    7207.8461    950.879    6694.1101      7.039918
   CBT                   CABOT CORP    4018.6341    624.000    4988.6341      7.994606
   CBU COMMUNITY FINANCIAL SYST INC    3026.0541    404.291    3470.9601      8.585301
  CBUS                    CIBUS INC      94.5272    -64.864     352.5692     -5.435514
   CBZ                     CBIZ INC    2743.4710    323.099    4515.4500     13.975438
    CC                  CHEMOURS CO    1767.2503    323.000    5489.2503     16.994583
  CCAP     CRESCENT CAPITAL BDC INC     519.4145    124.360    1361.6785     10.949489
   CCB       COASTAL FINANCIAL CORP    1734.8926    252.257    1050.9426      4.166158
  CCBG    CAPITAL CITY BK GROUP INC     727.2659    106.092     317.5809      2.993448
  CCCC          C4 THERAPEUTICS INC     185.1057   -104.489      -3.4493      0.033011
  CCEL  CRYO-CELL INTERNATIONAL INC      34.6365      4.841      42.8995      8.861702
   CCI             CROWN CASTLE INC   38658.4500   2086.000   67955.4500     32.576918
   CCK           CROWN HOLDINGS INC   11679.0633   1636.000   16974.0633     10.375344
  CCLD                CARECLOUD INC     123.9190     11.497     124.5850     10.836305
  CCNE        CNB FINANCIAL CORP/PA     771.3084    154.495     574.7044      3.719890
   CCO  CLEAR CHANNEL OUTDOOR HLDGS    1099.4109    304.364    7378.4139     24.242072
  CCOI  COGENT COMMUNICATIONS HLDGS    1079.3367   -103.813    3535.8417    -34.059720
  CCRN CROSS COUNTRY HEALTHCARE INC     256.9401      2.573     150.5201     58.499845
   CCS      CENTURY COMMUNITIES INC    1724.1769    221.422    2990.8079     13.507275
  CCSI CONSENSUS CLOUD SOLUTION INC     413.6636    150.239     909.6776      6.054870
   CDE             COEUR MINING INC   11448.5182    834.561   11253.8832     13.484794
  CDLX               CARDLYTICS INC      62.6911    -48.617     229.2861     -4.716171
  CDNA                   CAREDX INC     959.2763    -20.449     808.2623    -39.525762
  CDNS   CADENCE DESIGN SYSTEMS INC   84958.9314   1786.842   84469.7294     47.273194
   CDP      COPT DEFENSE PROPERTIES    3147.2658    243.857    5684.0438     23.308922
