Enterprise Value,EV/EBIT
1135.4888,11.900527170780276
1436.2646000000002,10.482458982892512
1209.9237,8.499042568137117
1423.3029000000001,10.419494143484629
1506.108,10.561767180925667
1145.6954,-133.22039534883723
959.4112,14.514541603630864
1347.3288,17.452445595854922
1687.0580000000002,19.616953488372097
1147.3709000000001,10.364687443541102
967.8065000000001,9.095925751879701
1621.8063,24.76040152671756
1815.0539999999999,15.620086058519792
1998.0408,13.197099075297226
3516.7171000000003,20.164662270642204
3151.0203,13.460146518581803
8787.575499999999,28.531089285714284
3598.3437999999987,-12.581621678321675
4059.5571,8.217726923076922
13104.992299999998,6.772605839793281
47232.5843,9.310582357579342
40064.7417,5.500376400329489
41032.556899999996,6.830790228067254
44421.6812,9.269966861435726
43905.2192,12.729840301536678
41740.862,11.263049649217486
43348.7396,-3.806862176165803
44389.1949,-8.050271109902068
42003.1662,23.270452188365653
41164.710999999996,10.257839770745077
41289.375400000004,12.806878225806454
40435.414300000004,24.822231000613876
90.3492,19.47181034482759
77.43979999999999,6.261303363518757
145.7481,8.736324402085955
479.7022,25.25280058959781
501.2552,20.60065757027782
398.30520000000007,13.901965027398697
566.2019,15.17316700610998
274.98409999999996,22.959347081906984
275.06100000000004,19.56058882093586
319.2744,16.27124655998369
299.8833,14.562390132569321
267.9684,22.256511627906978
484.06379999999996,19.198215277226936
812.0208,20.205553896685576
1269.0999,31.32110614773316
2340.1673000000005,44.717711916227174
85710.34640000001,10.662107401607285
95619.62920000001,10.628597997787573
108573.6685,11.097613536648128
57801.596300000005,21.616154188481676
71276.7357,24.351464195421936
69013.3852,20.46660296559905
59803.8983,16.5112916344561
117821.3661,29.48482635135135
142463.9223,33.25488382352941
168050.0106,33.33664165840111
206673.9727,35.725837977528094
257278.9007,28.694947657818425
198568.5131,21.950974253813843
199463.7453,29.36313047254527
203180.3608,28.803566884037426
222775.4887,26.028214592826263
36.1379,12.126812080536913
39.497499999999995,8.958380585166704
49.07,9.1531430703227
58.9629,10.029409763565232
87.6481,11.391746815700547
81.7422,10.551465083258035
112.0453,13.270792372379486
117.0416,15.013032324268856
87.3368,11.71362660944206
112.5923,13.35772926800332
144.41709999999998,12.654845776375742
161.68670000000003,12.660457286038683
21.266199999999998,-33.86337579617834
12.177900000000001,-18.64915773353752
16.192600000000002,5.597165572070517
37.8499,23.06514320536258
54.229,21.45134493670886
49.4311,34.567202797202796
54.2838,12.668331388564761
32.1336,-29.185831062670303
36.7995,15.175051546391755
37.7557,-8.610193842645382
34.6414,27.298187549251377
35.0858,-29.335953177257526
63.19889999999999,-6.207533641096159
48.6202,-62.57425997425997
116.6939,14.907243229432805
257.30609999999996,16.094708200412832
6218.94,12.64012195121951
4020.2,8.121616161616162
2751.2,88.74838709677418
3766.75,44.31470588235294
3243.92,21.771275167785234
3750.04,-11.755611285266458
10773.9,-82.87615384615384
10148.76,66.76815789473685
18641.3,37.58326612903225
52877.2,90.6984562607204
109342.81,79.06204627621113
170811.3,46.441353996737355
193086.38,84.31719650655022
342517.8,79.39680111265646
21461.1645,14.872601871101871
20191.5285,12.402658783783783
22409.2652,15.043813909774439
28328.546,18.78177153086256
33580.407,20.93933216935836
33148.1012,17.72341399775437
37400.44929999999,17.47357937768641
33303.4821,20.052674674855492
37506.7478,19.831199598159994
49812.5719,23.490955859467107
67788.5236,31.700581556303778
59120.38569999999,26.690919051918733
56653.7905,24.040478019180178
72053.88,26.643203668096437
78230.4393,27.07591433911328
77254.39940000001,27.80035244161359
15.7014,2.889473684210526
16.2936,4.884172661870505
17.5453,8.55034113060429
14.037600000000001,5.1382137628111275
23.2755,8.921234189344577
43.9328,17.242072213500784
48.0847,7.650708035003977
53.861900000000006,-37.37814018043026
93.2002,21.950117757889775
103.4894,12.7970075429702
112.18780000000001,15.427365236523654
145.6051,-16.181940431206936
198.26850000000002,-654.3514851485149
198.65990000000002,-51.16144733453516
177.572,138.51170046801872
167.18370000000002,71.35454545454546
2362.5316000000003,4.873208745874588
2829.8178,5.801184501845018
2812.5449,5.286738533834586
4584.894,7.097359133126935
7443.3045999999995,7.986378326180257
9435.8393,7.094616015037594
12326.8934,8.40852210095498
9994.2141,7.252695283018867
8363.3549,10.791425677419355
10019.25,9.050813008130081
8166.335999999999,-4.7924507042253515
7529.7026000000005,-31.373760833333336
6839.310000000001,9.85491354466859
6953.336299999999,8.307450776583034
11860.9553,12.962792677595628
10553.2093,19.083561121157324
2161.239,19.827880733944955
2239.194,19.64205263157895
1352.272,12.977658349328214
1289.1080000000002,12.601251221896385
1571.464,11.780089955022488
2258.805,10.649717114568599
2243.231,15.977428774928775
2105.5,17.372112211221122
2199.154,17.316173228346457
2944.9199999999996,27.192243767313016
3445.504,13.564976377952755
4463.2300000000005,3.9455710749646395
2926.1130000000003,2.3031192443919717
4358.94,12.797827363476216
4931.92,8.929784537389102
4341.12,9.28979242456666
232.583,67.12352092352093
199.0495,13.063562381046138
253.4804,10.676455227023839
311.86269999999996,22.679274234601117
284.5091,28.013893265064983
537.3383,16.431358938291236
419.5498,18.04981070383755
462.6759,-78.44623601220754
427.371,307.0193965517241
397.81750000000005,13.337049081400028
362.19669999999996,151.1672370617696
382.4772,40.33293261626067
325.0689,-108.68234704112336
318.1656,-9.904295853567424
302.67310000000003,-15.637979850167916
312.5587,-12.967626436543167
45618.28,12.21700053561864
45961.945,13.85648025324088
52546.316,11.425595999130245
74022.806,12.008891304347825
79881.424,12.425170944159278
86403.328,11.717294277190126
96070.68,13.104716955394897
122223.024,15.0483900517114
101698.752,13.113958994197292
132155.7,17.8661214005678
156201.36,24.908524956147343
151895.648,22.43989481459595
153493.68,21.00351395730706
150129.978,21.192825804630154
168055.322,21.802714322781522
146573.677,21.685704542092026
3341.3941999999997,16.815938280054752
2962.7826,9.588262173908824
4223.3838000000005,15.145176074015636
4156.335999999999,11.754343891402712
10177.26,17.817331932773108
14981.563,14.591957728645173
12992.186,11.487343943412908
17041.09,13.54940764888288
15064.554,11.40390158970477
12425.824999999999,11.923831686018616
23298.9,25.19617173137234
28631.134,16.91447628049861
15488.454000000002,9.804060007595899
16500.004999999997,13.648775746546445
15431.023000000001,19.24547642803692
11275.826,19.10833079139129
1287.9733,10.834048047643883
1351.9262999999999,10.889634146341463
1205.027,10.787003965589781
1808.4308000000003,14.49341860614221
1822.3991999999998,13.282793002915453
1695.9104,17.758224083769633
2385.1089,20.16152916314455
3864.5609,38.225132542037585
2929.523,15.353894129979036
3170.0787,14.033106241699867
2814.4906,9.695110575266964
3934.1609999999996,9.932241858116635
4258.2219000000005,11.874573061907418
3859.7009999999996,10.896953698475437
4707.572799999999,14.570017951098727
4176.911,12.009519838987924
40.2185,13.546143482654093
44.2399,11.18298786653185
45.1944,15.665303292894283
52.1089,17.17498352010547
40.6194,24.63274711946634
30.7288,9.546070208139174
42.2328,8.458401762467453
35.46699999999999,8.172119815668202
31.973299999999995,9.156156930126
29.3615,10.266258741258742
22.933,1146.6499999999999
22.2051,10.11621867881549
19.484099999999998,6.019184430027803
16.864199999999997,7.262790697674417
31.112800000000007,17.49876265466817
295.6175,15.403965400448127
399.2626,10.978102229921086
898.0948999999999,15.187453918219635
742.4795,13.392245810861997
432.7714,75.1861362056984
471.77590000000004,40.938554321416184
595.4984,28.992132424537488
651.5422,24.316720161230126
543.9245,16.497058020684847
741.0603,34.30675894634508
582.8466999999999,31.5035241338306
568.0319000000001,16.86355242845268
694.5414000000001,16.134865028109466
466.19710000000003,18.80357762271609
289.00280000000004,51.341765855391735
289.7716,16.493346234845465
7307.4873,15.15579395136034
7840.6302,12.288599321987144
10440.1412,13.997229015166141
14024.328000000001,17.206096586956605
14037.872100000002,15.622179847004073
14182.363900000002,15.018583617223383
12772.1254,15.180459807001343
18282.6182,19.46243075219826
17654.152700000002,16.414222344124813
25410.094399999998,21.581897433284066
29252.9919,27.293025176057
36437.5035,27.843156410707053
34357.9397,22.89473103075115
41225.08170000001,24.144112215871658
43536.2767,24.06924214102996
49137.1435,25.38576490815853
47106.8,8.425469504560901
51872.475999999995,9.704859869036481
67661.06,11.048507511430437
98811.768,15.70934308426073
124813.11599999998,18.18372902097902
122570.82,14.24745088922469
104443.22200000001,10.555151288529562
119254.58000000002,11.36082499761837
127189.23200000002,12.041014105841146
164088.798,16.879826972533692
155760.736,17.0491173380035
151542.751,16.34060286823377
170584.76,16.906319127849358
208684.908,21.075026055342356
188843.616,19.063559055118112
222660.628,18.86634705982037
232.34529999999995,5.2066173669467775
143.1278,3.8950579654928426
141.13510000000002,8.928080718623484
117.1559,9.236510564490697
116.91350000000001,23.091744025281457
25.303399999999996,-5.993225959261013
217.9493,-15.289323044545773
195.95340000000002,-19.04309037900875
92.3425,-7.789986502446432
106.24250000000002,37.238871363477045
125.0948,20.357168429617577
150.55800000000002,-30.147777332799365
148.961,-861.0462427745666
179.9952,29.994200966505584
159.5032,19.92046958910953
235.4592,24.448053161665456
7768.513500000001,8.475756008627942
8190.347800000001,7.621430851246969
8711.949499999999,10.455698640823305
11523.8475,14.597200477290691
13448.3131,16.329785379062468
16605.5153,15.600939597441542
17430.145099999998,16.502646839670025
40459.7128,26.374407647198403
36502.1766,18.541711079459446
44115.6393,24.42365347980116
48212.7141,29.933161169916534
96279.9442,50.954818165075075
78104.75549999998,20.241886309724503
84492.7775,21.17140696150308
116334.04669999999,56.19850221443284
119938.884,39.946658691027004
1150.9856,14.236237925020717
1111.3057000000001,8.857707513031835
1127.8186,10.15357592999388
1793.4898000000003,19.77561196136374
1801.1798,23.015919139257328
1288.2313000000001,30.22314423798799
1672.3453,61.685120430821435
