,Group 1,Group 1,Group 1,Group 2,Group 2,Group 2
,(sale) Sales/Turnover (Net),(ebit) Earnings Before Interest and Taxes,(ni) Net Income (Loss),(sale) Sales/Turnover (Net),(ebit) Earnings Before Interest and Taxes,(ni) Net Income (Loss)
count,21093.0,21093.0,21093.0,21092.0,21092.0,21092.0
mean,846.8413760963351,200.87563132318778,98.98827430901248,10513.099658116822,1420.1367165275933,863.2523125829699
std,6819.368910437666,2459.1218387168906,1306.1448343152672,32207.924384745074,5228.689700415782,4011.530038492537
min,-5121.0,-6223.0,-6084.0,0.0,-28387.0,-23119.0
25%,17.875,-9.21,-14.172,975.797,81.81675,24.93775
50%,94.137,6.397,2.091,2562.801,292.897,146.96050000000002
75%,331.994,54.49,28.664,7481.932,970.7194999999999,552.0
max,279717.0,102454.0,58471.0,716924.0,133896.0,132170.0
